Grafo,Execução,Algoritmo,Fit Inicial,Fit Final,Tempo Execução (s),Ganho Relativo (%)
berlin52,1,AG Original,25078.10274333768,13955.648024113725,0.8809404373168945,44.35126067173793
berlin52,1,AG 1DeleteCross,26248.904912342907,9671.85040636168,2.6929523944854736,63.153318438767606
berlin52,1,AG 1DC-Solucao-Cluster2x2,26247.32610650359,11248.244462679453,1.7377386093139648,57.145179600247545
berlin52,1,AG 1DC-AG-Cluster2x2,24845.568716025668,11475.843549371506,1.5828955173492432,53.81130663364747
berlin52,2,AG Original,26145.491263876218,14219.063858395653,0.8783907890319824,45.61561794770577
berlin52,2,AG 1DeleteCross,25756.36620331859,9560.395794106133,5.576537609100342,62.88142621269952
berlin52,2,AG 1DC-Solucao-Cluster2x2,25070.302711869525,12123.620192176808,1.7649540901184082,51.641508554913116
berlin52,2,AG 1DC-AG-Cluster2x2,25381.108781461448,11101.183437153204,3.4510419368743896,56.26202333106271
berlin52,3,AG Original,23488.809854752402,12597.373568878023,0.8919439315795898,46.36861702752792
berlin52,3,AG 1DeleteCross,25482.487783353787,9052.78349780415,8.13113808631897,64.47449097290335
berlin52,3,AG 1DC-Solucao-Cluster2x2,26093.220695366083,11835.92725837827,3.685459852218628,54.6398376936266
berlin52,3,AG 1DC-AG-Cluster2x2,25825.890259272004,10628.70783335565,3.3507678508758545,58.84475723139986
berlin52,4,AG Original,26177.161227577122,13741.626833404534,0.8816523551940918,47.505282509671055
berlin52,4,AG 1DeleteCross,25195.990261329574,8727.19616503428,3.7061731815338135,65.36275782568208
berlin52,4,AG 1DC-Solucao-Cluster2x2,26941.639733592398,11533.09254034268,1.7451660633087158,57.192314000240486
berlin52,4,AG 1DC-AG-Cluster2x2,25928.29686106702,11032.507570695687,1.6810429096221924,57.44993344602709
berlin52,5,AG Original,25524.742292417508,13899.758540819059,0.8798999786376953,45.54398088889547
berlin52,5,AG 1DeleteCross,26234.349816940034,10196.305093780566,2.5262789726257324,61.13376102350892
berlin52,5,AG 1DC-Solucao-Cluster2x2,26365.65610383883,9834.742356430648,2.095317840576172,62.698662541537466
berlin52,5,AG 1DC-AG-Cluster2x2,26538.88344920235,12670.560545221462,3.2203471660614014,52.25661784349753
berlin52,6,AG Original,24941.15735474306,13722.649700328255,0.8809869289398193,44.979900069799214
berlin52,6,AG 1DeleteCross,25733.05556386774,9460.521612457258,3.1101737022399902,63.23591814047551
berlin52,6,AG 1DC-Solucao-Cluster2x2,25829.050733954005,13291.553615089433,3.978795289993286,48.54029382652921
berlin52,6,AG 1DC-AG-Cluster2x2,25886.94876384145,11528.2922220688,3.4888882637023926,55.46677854065456
berlin52,7,AG Original,25812.17927477221,13273.793809982122,0.8788366317749023,48.575462502868184
berlin52,7,AG 1DeleteCross,27026.76823529235,9714.467422256046,2.5589115619659424,64.05612636448849
berlin52,7,AG 1DC-Solucao-Cluster2x2,24514.684721127716,12663.543260620723,3.3087706565856934,48.343030291118595
berlin52,7,AG 1DC-AG-Cluster2x2,25715.686598892506,13414.600844368024,2.1580889225006104,47.834949719189105
berlin52,8,AG Original,26655.075266693904,14047.349334674862,0.8988444805145264,47.299532287468985
berlin52,8,AG 1DeleteCross,26804.792934197572,9337.234866659897,4.266802787780762,65.16580117003087
berlin52,8,AG 1DC-Solucao-Cluster2x2,25999.08880531926,11185.204669881949,3.319315195083618,56.978474308709146
berlin52,8,AG 1DC-AG-Cluster2x2,26612.490119099366,13515.281335762415,3.381584882736206,49.21451816317365
berlin52,9,AG Original,25795.89094870262,13442.100378910822,0.8873109817504883,47.89053649807401
berlin52,9,AG 1DeleteCross,24560.62443012814,9729.33444207481,2.416621685028076,60.386453244486795
berlin52,9,AG 1DC-Solucao-Cluster2x2,26555.766508088403,12099.786639373293,3.2295007705688477,54.436311843275476
berlin52,9,AG 1DC-AG-Cluster2x2,25361.189266381913,11683.066386818644,3.2500901222229004,53.93328655014853
berlin52,10,AG Original,24647.41646526875,15827.14853116344,0.8856494426727295,35.78577067715862
berlin52,10,AG 1DeleteCross,25890.53330083625,9791.124340102253,2.715686559677124,62.18260849889097
berlin52,10,AG 1DC-Solucao-Cluster2x2,26375.201397672918,12419.462196654917,3.544677734375,52.91235122947465
berlin52,10,AG 1DC-AG-Cluster2x2,25725.914611944925,11761.991263354821,1.6593120098114014,54.27959922601332
berlin52,11,AG Original,24042.438814292724,12380.348198894459,0.8834500312805176,48.506271370712184
berlin52,11,AG 1DeleteCross,26638.196238689936,9340.682761677377,4.036133289337158,64.93500281332581
berlin52,11,AG 1DC-Solucao-Cluster2x2,25538.556243135325,11603.350701095349,3.312929153442383,54.56536152385556
berlin52,11,AG 1DC-AG-Cluster2x2,26062.95558535993,11683.431472688988,3.0918896198272705,55.172269566956565
berlin52,12,AG Original,25956.446543033526,13798.200372181886,0.8839817047119141,46.84095009189462
berlin52,12,AG 1DeleteCross,25520.15383745091,10313.851427860985,2.409421682357788,59.58546530105405
berlin52,12,AG 1DC-Solucao-Cluster2x2,26086.047284540447,11968.190470073663,2.919989824295044,54.12033743737613
berlin52,12,AG 1DC-AG-Cluster2x2,26330.768455671856,12266.786904037013,1.8032608032226562,53.41272730156628
berlin52,13,AG Original,25066.829472220674,14326.802655273585,0.8825020790100098,42.84557338553446
berlin52,13,AG 1DeleteCross,26197.130071858,9042.876962067674,2.597315788269043,65.48142129590794
berlin52,13,AG 1DC-Solucao-Cluster2x2,25932.142327639725,11369.752987582175,3.2880594730377197,56.15575125290076
berlin52,13,AG 1DC-AG-Cluster2x2,27154.72802361564,11069.65364168079,3.574634552001953,59.234894077915826
berlin52,14,AG Original,25381.091999411565,13082.635223746105,0.8838610649108887,48.45519166768155
berlin52,14,AG 1DeleteCross,25503.91525411626,9814.715923750005,2.472684621810913,61.51682662854701
berlin52,14,AG 1DC-Solucao-Cluster2x2,26994.608792160387,11630.446628881571,1.7756059169769287,56.915668908455466
berlin52,14,AG 1DC-AG-Cluster2x2,26493.142297861064,11424.488037556523,3.3856306076049805,56.87756511058002
berlin52,15,AG Original,25520.024541514897,13348.230722728185,0.8783955574035645,47.69507097842383
berlin52,15,AG 1DeleteCross,25374.133591859005,9903.513525903185,3.355046033859253,60.97004262214253
berlin52,15,AG 1DC-Solucao-Cluster2x2,26136.692839589556,11843.123140887848,3.5017144680023193,54.68775176119861
berlin52,15,AG 1DC-AG-Cluster2x2,26041.086279801046,11354.298741925348,3.376173734664917,56.39852109114054
berlin52,16,AG Original,24453.466935996243,12761.880916978256,0.8796584606170654,47.811568190388655
berlin52,16,AG 1DeleteCross,24789.438058744086,9171.582907844158,3.086921453475952,63.00205399529407
berlin52,16,AG 1DC-Solucao-Cluster2x2,26008.598136853005,10326.090564726435,3.652543783187866,60.29739661325755
berlin52,16,AG 1DC-AG-Cluster2x2,26576.690571584655,10706.203288526176,3.393578052520752,59.715814654616686
berlin52,17,AG Original,26304.293899061162,15160.072022845012,0.8810677528381348,42.36655018751103
berlin52,17,AG 1DeleteCross,25768.40905155581,9376.622131186437,2.8591268062591553,63.61194782174451
berlin52,17,AG 1DC-Solucao-Cluster2x2,26226.25957918717,11156.122397464544,3.180267810821533,57.462014879476364
berlin52,17,AG 1DC-AG-Cluster2x2,27223.628414057413,11875.507834845774,3.650627374649048,56.3779388469994
berlin52,18,AG Original,24491.479682147547,14163.75271036567,0.8858170509338379,42.16865255107479
berlin52,18,AG 1DeleteCross,25227.980627403278,10505.965142381123,2.616593360900879,58.355901340080806
berlin52,18,AG 1DC-Solucao-Cluster2x2,26509.0726081334,12392.873101600708,3.1072490215301514,53.250446423394
berlin52,18,AG 1DC-AG-Cluster2x2,26486.810801597458,11126.604912593179,3.2262659072875977,57.99190398595621
berlin52,19,AG Original,25485.730412176435,14318.063308184228,0.8781616687774658,43.81929386907655
